ID,Z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,lgOH_MEDIAN_T04,logMstar_S16,logSFR_SED_S16
849040,0.0404491,17.513086,15.860591,15.184485,14.825461,14.644512,9.228766,10.711,0.435
634747,0.0242086,15.96101,14.346539,13.668274,13.320307,13.090604,9.228354,10.778,0.078
675708,0.0454293,17.251287,16.138588,15.601834,15.269736,15.055308,9.228325,10.472,0.775
785376,0.0473078,17.079765,15.241018,14.602667,14.267625,14.257781,9.227482,11.207,0.795
639190,0.0430033,17.598457,16.000292,15.281459,14.912501,14.622347,9.226616,10.731,0.657
590627,0.0493526,17.907055,16.487753,15.879746,15.52313,15.320145,9.226191,10.473,0.807
593779,0.0353741,17.82689,15.816493,15.0451765,14.608082,14.4037485,9.226072,10.672,-0.26
594999,0.0364673,17.615469,15.947059,15.1709,14.731472,14.420234,9.225439,10.616,0.25
669571,0.0268746,18.008335,16.352303,15.594922,15.23296,14.954425,9.225043,10.098,-0.251
552445,0.0245318,16.277586,14.825535,14.144341,13.794419,13.644565,9.224789,10.758,0.133
23500,0.0259675,16.057613,14.564362,14.19327,14.02082,14.000074,9.224253,10.448,0.505
582774,0.0215302,16.801107,15.089785,14.327505,13.936063,13.735129,9.223894,10.5,-1.115
338335,0.0308314,16.801136,15.328112,14.747373,14.489157,14.33255,9.223737,10.422,0.167
775248,0.0302715,17.424278,16.101109,15.419075,15.089328,14.906714,9.22245,10.174,-0.279
868505,0.0347725,16.501125,14.914413,14.255982,13.945626,13.896271,9.222255,10.884,0.295
740805,0.0303978,16.121567,14.742498,14.152294,13.817968,13.637975,9.221268,10.879,0.159
595037,0.0408675,17.492125,15.994815,15.40994,15.1561,15.005356,9.2203245,10.583,0.106
132353,0.023653,17.36181,15.70742,14.921844,14.513772,14.245562,9.199898,10.321,-0.061
590546,0.0282164,16.217182,14.629455,13.988736,13.647595,13.519553,9.198738,10.911,0.174
266979,0.0350303,16.478094,15.008571,14.451681,14.116105,13.95375,9.198527,10.928,0.412
627618,0.0486973,17.054848,15.684469,15.011944,14.665244,14.4374075,9.198236,11.012,0.399
639623,0.0467063,18.102295,16.725388,16.062923,15.694726,15.510815,9.197807,10.467,0.753
699847,0.0186648,15.643659,13.872151,13.228228,12.890036,12.914946,9.196407,10.882,0.228
108959,0.0203249,15.956662,14.512859,13.905652,13.60304,13.450802,9.195765,10.524,0.091
614141,0.042634,16.429312,15.045734,14.675415,14.367652,14.323738,9.195671,10.782,0.684
643357,0.028811,18.631407,16.750338,16.055408,15.718404,15.49009,9.194724,10.001,-0.619
593864,0.0346461,16.836885,15.371953,14.829863,14.491098,14.336021,9.19468,10.592,0.22
769262,0.0334638,17.51623,15.989211,15.29451,14.936214,14.7994,9.194532,10.492,0.376
637103,0.0341775,16.819775,15.047091,14.244136,13.83776,13.585297,9.193851,10.909,0.073
891842,0.0277647,16.77006,15.5176735,14.995646,14.686604,14.508534,9.193349,10.3,0.033
818121,0.0440698,16.738436,15.299041,14.731799,14.417601,14.3007555,9.193125,11.038,0.903
304763,0.0408705,18.633001,17.25302,16.5306,16.10294,15.829992,9.192059,10.159,0.449
888314,0.0236882,16.15293,14.614996,14.031483,13.727532,13.693201,9.191783,10.628,0.633
826312,0.0412343,17.063488,15.836609,15.287622,14.973886,14.745061,9.19141,10.526,0.487
586091,0.0142293,15.542309,14.004851,13.500693,13.183574,13.1144705,9.191349,10.427,-0.099
625092,0.0421052,19.04285,17.8339,17.175566,16.854021,16.609167,9.191292,9.733,-0.302
158434,0.04178,17.026047,15.330077,14.617916,14.226071,14.029641,9.190894,10.949,1.001
337343,0.0288505,16.745012,15.209297,14.627793,14.302771,14.116807,9.190868,10.431,0.859
22780,0.0430099,16.954338,15.442226,14.7766695,14.425725,14.256825,9.190707,10.886,0.374
850259,0.0163249,15.717583,14.411399,13.826831,13.5347,13.313522,9.190188,10.364,-0.024
869792,0.0278881,17.06857,15.267152,14.496861,14.078993,13.84935,9.190122,10.724,0.089
16982,0.040651,16.893625,15.463391,14.806421,14.457698,14.282311,9.190119,10.926,0.463
643107,0.0414149,18.36477,17.080082,16.378323,15.994324,15.669019,9.190073,10.277,0.273
746319,0.0478913,18.263474,16.632767,15.773168,15.285969,14.951407,9.190072,10.726,0.517
273542,0.0235402,15.861343,14.140755,13.529903,13.22042,13.092821,9.190055,10.958,0.493
585646,0.0191106,15.88728,14.352765,13.669581,13.340345,13.164326,9.190051,10.521,0.152
566149,0.0326344,16.79485,15.400326,14.677667,14.314608,14.0198765,9.190039,10.675,0.397
597293,0.0418109,17.61149,15.858704,15.243408,14.862578,14.691018,9.190038,10.824,0.367
305447,0.0479837,17.525908,16.250616,15.659939,15.298021,15.047386,9.19,10.548,0.68
761649,0.0430143,17.202084,15.663514,15.002937,14.613802,14.383672,9.189997,10.757,0.129
817485,0.0310023,17.748798,16.086157,15.203055,14.746415,14.432233,9.18997,10.57,0.264
784826,0.0475733,16.930758,15.608715,14.968495,14.609715,14.394583,9.189962,10.985,0.766
123515,0.0367631,17.155865,15.701057,14.984799,14.625126,14.347415,9.189932,10.636,0.366
397085,0.0209458,15.509488,13.994829,13.433205,13.157868,13.0908985,9.189896,10.952,0.226
635631,0.0235964,16.567842,14.958817,14.350687,14.023103,13.850195,9.189862,10.477,0.033
634678,0.0152785,15.98656,14.017234,13.323972,12.974777,12.820076,9.189814,10.494,-0.314
430669,0.0468482,18.12087,16.99773,16.396866,16.052238,15.780952,9.189796,10.066,0.338
630799,0.0236295,16.24169,14.678766,13.975834,13.626786,13.455388,9.189792,10.875,0.13
901399,0.0468484,17.385632,16.177868,15.664555,15.358578,15.161742,9.189631,10.436,0.734
870607,0.0263783,16.912586,15.379092,14.53866,14.108271,13.83265,9.189509,10.744,0.253
336281,0.0455466,18.077929,16.575663,15.834373,15.442459,15.142302,9.189417,10.501,-0.043
757280,0.0286745,16.69923,15.166853,14.451767,14.069175,13.911628,9.18941,10.84,0.146
767343,0.0297388,18.006996,16.489079,15.708297,15.306004,15.01768,9.189393,10.304,-0.27
274661,0.0231417,16.221035,14.39277,13.757713,13.391749,13.308964,9.189373,10.672,0.093
754051,0.0325911,17.312283,15.775683,15.076656,14.697614,14.502309,9.189368,10.47,0.337
635672,0.0366027,18.078543,16.371056,15.674045,15.298397,15.153909,9.189287,10.244,0.356
769034,0.0482085,17.127684,15.812445,15.207596,14.869097,14.653892,9.189084,10.767,0.788
768253,0.0350538,18.198162,16.499678,15.68157,15.264498,14.957199,9.188652,10.336,0.067
768526,0.0462868,16.476646,14.947806,14.434061,14.0984125,14.0649395,9.188332,11.179,1.461
673797,0.0265744,16.827604,15.246707,14.507987,14.122409,13.901424,9.188275,10.487,0.103
152632,0.0284274,17.072876,15.739677,15.083074,14.731671,14.453222,9.187746,10.266,0.147
334390,0.0339886,16.218458,14.92193,14.401578,14.080892,13.939594,9.1871,10.718,0.427
615885,0.0405609,17.422384,16.023468,15.430362,15.091404,14.846312,9.186523,10.444,0.118
408466,0.0260737,17.621206,16.17602,15.373954,14.969707,14.709782,9.186511,10.216,-0.418
895694,0.0249145,16.210417,14.541488,13.824572,13.4787035,13.296848,9.186118,10.874,0.711
529562,0.0332704,16.328056,14.942741,14.283338,13.91516,13.687551,9.1859,10.924,0.451
134764,0.0338991,16.148848,14.884503,14.421987,14.17141,14.152047,9.185835,10.75,0.657
739713,0.0494788,16.977427,15.425833,14.896028,14.606775,14.569111,9.185242,10.867,0.503
28934,0.0396062,18.650936,16.772663,15.976989,15.613233,15.318531,9.18522,10.288,0.085
549878,0.0217006,16.342163,14.9462185,14.348821,14.021934,13.877833,9.184997,10.416,-0.01
807277,0.0300538,17.44253,16.163126,15.554852,15.24672,14.988541,9.184996,10.165,-0.267
156828,0.02957,16.444143,14.547197,13.971322,13.678925,13.803683,9.1848955,10.794,0.479
629144,0.0450845,17.125868,15.862675,15.257658,14.913314,14.692879,9.184274,10.689,0.023
634995,0.0208117,15.348188,13.821149,13.209811,12.885128,12.743212,9.184138,10.804,0.248
860002,0.0425944,17.048267,15.626383,15.018731,14.676478,14.509228,9.184051,10.741,0.318
337996,0.0360332,16.71016,15.190093,14.456186,14.062984,13.752727,9.184048,10.973,0.511
903156,0.0436051,19.459757,18.096706,17.40495,17.02004,16.743582,9.1840315,9.855,-0.503
908520,0.0332297,17.62884,16.339174,15.711073,15.37216,15.17112,9.183592,10.304,-0.028
272200,0.0494113,18.027176,16.911215,16.343294,16.009401,15.790319,9.183377,10.241,0.292
761031,0.0362144,16.73672,15.201771,14.585827,14.235666,14.261707,9.183042,10.749,0.241
596786,0.0455628,17.045366,15.924519,15.422314,15.104896,14.919933,9.182538,10.476,0.255
778411,0.0269749,15.934558,14.287508,13.716582,13.426412,13.385453,9.182326,11.043,0.549
805790,0.0211806,16.46761,14.712623,13.972286,13.596468,13.527809,9.182324,10.735,-0.005
862877,0.0421092,18.462715,16.76797,15.980605,15.539244,15.269345,9.182239,10.502,-0.205
640395,0.0341069,17.44456,16.152779,15.60519,15.300591,15.17705,9.182057,10.382,0.084
767553,0.0376935,18.43869,16.964813,16.19588,15.803432,15.520436,9.182045,10.172,-0.245
848041,0.0351472,17.83342,16.607464,15.969331,15.661913,15.672727,9.182031,10.071,-0.343
26727,0.0404741,18.590214,17.277784,16.512749,16.141012,15.900296,9.180532,9.979,-0.507
891304,0.0410787,16.694061,15.360607,14.816048,14.566155,14.583063,9.180503,10.642,0.437
781772,0.0254421,16.14918,14.668811,14.058802,13.729799,13.5494795,9.18019,10.591,0.594
124796,0.0406672,16.472853,15.21993,14.673232,14.338497,14.11048,9.179412,10.757,0.479
768749,0.0333687,18.408028,16.669483,15.88619,15.498709,15.219865,9.179167,10.204,-0.38
646376,0.0371182,17.066326,15.6712,15.054059,14.714425,14.487984,9.178976,10.513,0.575
564999,0.0321609,16.24546,14.751217,14.292836,14.040158,14.275154,9.178929,10.667,0.567
411386,0.04577,17.6561,16.291483,15.561763,15.167772,14.944634,9.1783285,10.57,0.701
637374,0.0439322,16.639421,15.099631,14.618674,14.336141,14.290133,9.178181,10.824,0.6
565024,0.0327111,16.220253,14.951965,14.397757,14.096396,14.090352,9.177366,10.668,0.499
415372,0.0207419,15.737027,14.41226,13.830183,13.520931,13.344899,9.175908,10.436,0.068
892096,0.0311133,16.673073,15.328597,14.730015,14.4264145,14.283317,9.175903,10.61,0.209
393124,0.034243,17.357718,15.870404,15.269289,15.043728,15.079346,9.17583,10.254,0.062
648467,0.0399914,19.17772,17.860916,17.227993,16.891794,16.58303,9.175817,9.656,0.333
539399,0.0318404,16.2896,14.989624,14.40406,14.074753,13.896428,9.175403,10.772,0.348
641483,0.0452131,17.90268,16.362936,15.855332,15.402607,15.484212,9.175035,10.56,0.652
614574,0.0450647,17.536545,16.096476,15.44873,15.07984,14.851718,9.174772,10.534,0.302
337300,0.043852,16.98727,15.576499,14.905287,14.536117,14.311003,9.174061,10.719,0.511
894147,0.0304082,17.17059,15.496143,14.698658,14.279114,14.052172,9.173194,10.696,0.151
266314,0.0208845,16.723444,15.510621,14.940429,14.69929,14.578789,9.172938,10.043,-0.283
405932,0.0359162,17.456814,15.911776,15.271014,14.960779,14.690713,9.172921,10.414,0.56
2969,0.0120286,15.9762535,14.149125,13.509224,13.523452,13.853822,9.17194,10.137,-0.158
799281,0.0340316,16.62647,15.354116,14.790525,14.47091,14.304934,9.171892,10.52,0.157
336486,0.0476183,17.09013,15.82569,15.142338,14.746867,14.588956,9.171885,10.776,1.237
636576,0.0331689,16.368166,15.108638,14.518373,14.194979,13.978288,9.171398,10.628,0.198
783458,0.0234068,16.282541,15.486682,15.064377,14.8645315,14.710297,9.171357,9.881,0.262
906433,0.0494148,17.456034,16.197134,15.606125,15.289217,15.1457815,9.171267,10.492,0.561
849832,0.0333102,18.101097,16.637432,15.924401,15.559982,15.370681,9.171247,10.162,0.139
593599,0.0327833,16.986483,15.525951,14.917869,14.568401,14.382298,9.171199,10.425,0.296
824593,0.0259634,15.753086,14.533824,14.007488,13.694362,13.525353,9.171158,10.708,0.282
154201,0.0303565,15.994596,14.380317,13.786578,13.438092,13.373765,9.1711235,10.926,0.743
587382,0.0308414,16.059937,14.819223,14.296852,14.017509,13.852793,9.171112,10.667,0.307
901356,0.0317738,16.9482,15.608564,14.975163,14.644303,14.422814,9.17094,10.454,0.175
410220,0.0165911,15.22332,13.517449,12.834463,12.476261,12.355865,9.170856,10.866,0.207
338890,0.0217553,15.582521,14.215892,13.605412,13.348936,13.1441965,9.170806,10.644,0.253
563786,0.0229163,16.109175,14.956101,14.463194,14.251797,14.063139,9.170624,10.231,0.082
305085,0.0474435,17.178455,15.8387575,15.203164,14.819124,14.565695,9.170549,10.782,0.383
761603,0.0283234,16.295946,15.328105,14.98398,14.773164,14.614427,9.170415,10.272,0.546
29879,0.0398672,17.260527,16.050747,15.543536,15.259344,15.126879,9.170271,10.304,0.185
131512,0.0304265,16.255003,14.658737,14.100035,13.786918,13.827902,9.170202,11.007,0.494
761552,0.0413944,17.386108,15.771936,15.014231,14.573417,14.305493,9.170136,10.856,0.395
133781,0.0259152,17.479372,15.597094,14.673439,14.228663,13.93329,9.170003,10.679,0.21
847496,0.035451,18.315315,17.023685,16.429598,16.11213,15.935466,9.170001,9.815,0.285
895744,0.0300149,17.16026,15.829341,15.252699,14.925966,14.785063,9.169958,10.254,-0.199
769283,0.0293662,18.860628,17.6674,16.854694,16.22033,15.670457,9.169913,10.658,0.547
761145,0.0445152,16.80116,15.352405,14.915029,14.652377,14.699042,9.169869,10.709,0.546
674235,0.0431801,18.67982,17.052986,16.254745,15.828068,15.533937,9.169861,10.306,-0.229
593820,0.036235,17.508558,16.143242,15.479906,15.1146755,14.815989,9.169821,10.434,0.288
